id;raison_sociale;mobile;mail;latitude;longitude;type;categorie;adresse;code_postale;commune;telephone;internet;classement;marque;tourisme;;
393;Cajou Caffé;;;44.839043;-0.5721255;Restaurant;BrasserieCuisine traditionnelle;place Camille Jullian ;33000;BORDEAUX;+33 5 56 52 50 50;;;;;place Camille Jullian;
394;El Bodegon;;;44.83033;-0.5726746;Restaurant;BrasserieCuisine traditionnelle;14  place de la Victoire;33000;BORDEAUX;+33 5 56 94 74 02;;;;;14; place de la Victoire
395;La Terrasse Saint Pierre;;;44.840096;-0.5706159;Restaurant;BrasserieCuisine traditionnelle;7  place Saint Pierre;33000;BORDEAUX;+33 5 57 85 89 17;;;;;7; place Saint Pierre
396;Le Mably;;;44.843403;-0.5767131;Restaurant;BrasserieCuisine traditionnelle;12  rue Mably;33000;BORDEAUX;+33 5 56 44 30 10;www.le-mably.com;;;;12; rue Mably
397;Pub Saint-Aubin;;;44.831375;-0.5723752;Restaurant;BrasserieCuisine traditionnelle;5  place de la Victoire;33000;BORDEAUX;+33 5 56 91 28 15;;;;;5; place de la Victoire
398;Brasserie l'Atrium;;;44.88758;-0.5653452;Restaurant;BrasserieCuisine traditionnelle;Casino de Bordeaux rue du Cardinal Richaud;33000;BORDEAUX;+33 5 56 69 49 00;www.lucienbarriere.com;;;;Casino de Bordeaux;rue du Cardinal Richaud
399;La Cassolette;;;44.830544;-0.5735026;Restaurant;BrasserieCuisine traditionnelle;20  place de la Victoire;33000;BORDEAUX;+33 5 56 92 94 96;www.cassolettecafe.com;;;;20; place de la Victoire
400;Le Chapeau Rouge;;;44.84223;-0.5726041;Restaurant;BrasserieCuisine traditionnelle;34 bis cours du Chapeau Rouge ;33000;BORDEAUX;+33 5 56 44 39 11;www.le-chapeau-rouge.fr;;;;34 bis cours du Chapeau Rouge;
401;Comptoir Cuisine;;;44.842407;-0.5747717;Restaurant;BrasserieCuisine traditionnelle;2  place de la Comédie;33000;BORDEAUX;+33 5 56 56 22 33;www.comptoircuisine.com;;;;2; place de la Comédie
402;Brasserie l'Orléans;;;44.84384;-0.5735145;Restaurant;BrasserieCuisine traditionnelle;36  allée d'Orléans;33000;BORDEAUX;+33 5 56 00 50 06;www.brasserie-lorleans.fr;;;;36; allée d'Orléans
403;Café Le Dijeaux;;;44.840496;-0.5799906;Restaurant;BrasserieCuisine traditionnelle;14  ter place Gambetta;33000;BORDEAUX;+33 5 56 81 90 65;;;;;14; ter place Gambetta
404;La Mama;;;44.840004;-0.5794486;Restaurant;BrasseriePizzeriaRestauration à  thème;21  rue des remparts;33000;BORDEAUX;+33 5 56 44 67 87;www.pizzeria-la-mama.fr;;;;21; rue des remparts
405;Pizzeria Masaniello;;;44.83909;-0.5713407;Restaurant;BrasseriePizzeriaRestauration à  thème;10  rue Maucoudinat;33000;BORDEAUX;+33 5 57 30 61 50;www.pizzeriamasaniello.com;;;;10; rue Maucoudinat
406;Café Utopia;;;44.83909;-0.572373;Restaurant;BrasserieRestauration rapide;5  place Camille Jullian;33000;BORDEAUX;+33 5 56 79 39 25;www.cafejaponais.free.fr;;;;5; place Camille Jullian
407;Arty Café;;;44.841206;-0.5734956;Restaurant;BrasserieRestauration rapide;61 rue Saint-Rémi ;33000;BORDEAUX;+33 5 56 81 60 24;;;;;61 rue Saint-Rémi;
408;Cidrerie Sagardozale;;;44.84104;-0.5734677;Restaurant;Cidrerie;20  rue des Piliers de Tutelle;33000;BORDEAUX;+33 5 56 44 70 23;www.sagardozale.fr;;;;20; rue des Piliers de Tutelle
409;7ème Péché;;;44.851196;-0.5741847;Restaurant;Cuisine traditionnelle;65  cours de Verdun;33000;BORDEAUX;+33 5 56 06 42 16;www.7peche.fr;;Tables et Auberges de France;;65; cours de Verdun
410;Le Chapon Fin;;;44.84268;-0.5781621;Restaurant;Cuisine traditionnelle;5  rue Montesquieu;33000;BORDEAUX;+33 5 56 79 10 10;www.chapon-fin.com;;Tables et Auberges de FranceMaître Restaurateur;;5; rue Montesquieu
411;Le Pavillon des Boulevards;;;44.8535;-0.5929693;Restaurant;Cuisine traditionnelle;120  rue Croix de Seguey;33000;BORDEAUX;+33 5 56 81 51 02;www.lepavillondesboulevards.fr;;;;120; rue Croix de Seguey
412;Auberge'Inn;;;44.84896;-0.5933111;Restaurant;Cuisine traditionnelle;245  rue de Turenne;33000;BORDEAUX;+33 5 56 81 97 86;www.auberge-inn.fr;;;;245; rue de Turenne
413;Gravelier;;;44.851536;-0.573682;Restaurant;Cuisine traditionnelle;114  cours Verdun;33000;BORDEAUX;+33 5 56 48 17 15;www.gravelier.fr;;;;114; cours Verdun
414;Jean Ramet;;;44.843307;-0.5708974;Restaurant;Cuisine traditionnelle;41858  place Jean Jaurès;33000;BORDEAUX;+33 5 56 44 12 51;www.ramet-jean.com;;;;41858; place Jean Jaurès
415;Dubern;;;44.844063;-0.576932;Restaurant;Cuisine traditionnelle;42-44  allées de Tourny;33000;BORDEAUX;+33 5 56 79 07 70;www.dubern.fr;;;;42-44; allées de Tourny
416;L'Estacade;;;44.845695;-0.5646427;Restaurant;Cuisine traditionnelle;quai des Queyries ;33000;BORDEAUX;+33 5 57 54 02 50;www.lestacade.com;;;;quai des Queyries;
417;La Tupina;;;44.83279;-0.562062;Restaurant;Cuisine traditionnelle;6  rue Porte de la Monnaie;33000;BORDEAUX;+33 5 56 91 56 37;www.latupina.com;;;;6; rue Porte de la Monnaie
418;Agora Restaurant;;;44.843624;-0.5771059;Restaurant;Cuisine traditionnelle;19  rue Mably;33000;BORDEAUX;+33 5 57 59 81 90;;;;;19; rue Mably
419;Ice Room;;;44.859787;-0.5550479;Restaurant;Cuisine traditionnelle;quai de Bacalan hangar 19;33000;BORDEAUX;+33 5 57 00 10 15;www.iceroom.fr;;;;quai de Bacalan;hangar 19
420;L'Air de Famille;;;44.85194;-0.5751616;Restaurant;Cuisine traditionnelle;15  rue Albert Pitres;33000;BORDEAUX;+33 5 56 52 13 69;www.lairdefamille.eresto.net;;;;15; rue Albert Pitres
421;L'Antre de Peggy;;;44.84031;-0.5727895;Restaurant;Cuisine traditionnelle;45  rue de la devise;33000;BORDEAUX;+33 5 56 48 26 71;www.antre-de-peggy.fr;;Tables et Auberges de France;;45; rue de la devise
422;Le Café Rohan;;;44.838066;-0.5778457;Restaurant;Cuisine traditionnelle;1  place Pey-Berland;33000;BORDEAUX;+33 5 56 44 46 06;wwww.lecaferohan.fr;;;Handicap auditifHandicap mentalHandicap moteurHandicap visuel;1; place Pey-Berland
423;Restaurant du Musée des Arts Décoratifs;;;44.83889;-0.57999;Restaurant;Cuisine traditionnelle;39  rue Bouffard;33000;BORDEAUX;+33 5 57 59 10 42;;;;;39; rue Bouffard
424;L'Orchidée;;;44.830242;-0.5698899;Restaurant;Cuisine traditionnelle;117 cours de la Marne ;33000;BORDEAUX;+33 6 81 31 27 89;;;;;117 cours de la Marne;
425;I.Boat Restaurant;;;44.862297;-0.5542437;Restaurant;Cuisine traditionnelle;quai Armand Lalande Bassin à  flots 1;33000;BORDEAUX;+33 5 56 10 48 37;www.iboat.eu;;;;quai Armand Lalande;Bassin à  flots 1
426;La Belle Epoque;;;44.844112;-0.5705257;Restaurant;Cuisine traditionnelle;2  allées d'Orléans;33000;BORDEAUX;+33 5 56 79 14 58;www.la-belle-epoque-bordeaux.fr;;Tables et Auberges de France;;2; allées d'Orléans
427;Le Bistro du Musée;;;44.837246;-0.5772484;Restaurant;Cuisine traditionnelle;37  place Pey Berland;33000;BORDEAUX;+33 5 56 52 99 69;www.lebistrodumusee.com;;;;37; place Pey Berland
428;Le Brocéliande;;;44.84177;-0.5841609;Restaurant;Cuisine traditionnelle;15  place des Martyrs de la Résistance;33000;BORDEAUX;+33 5 56 96 38 93;;;;;15; place des Martyrs de la Résistance
429;Le Chai d'Oc;;;44.84058;-0.5710277;Restaurant;Cuisine traditionnelle;41857  rue de Mérignac;33000;BORDEAUX;+33 5 56 44 00 19;www.chaidoc.fr;;;;41857; rue de Mérignac
430;Le Jardin de Margaux;;;44.855743;-0.6014729;Restaurant;Cuisine traditionnelle;72 avenue d'Eysines ;33000;BORDEAUX;+33 5 56 02 73 67;www.lejardindemargaux.fr;;;;72 avenue d'Eysines;
431;Le Munich;;;44.827446;-0.5513763;Restaurant;Cuisine traditionnelle;66 quai de Paludate ;33000;BORDEAUX;+33 5 56 49 11 77;www.lemunich.fr;;;;66 quai de Paludate;
432;L'Incontournable;;;44.838066;-0.5709462;Restaurant;Cuisine traditionnelle;7-9 rue du Cerf Volant ;33000;BORDEAUX;+33 5 56 79 06 72;www.resto-lincontournable.com;;;;7-9 rue du Cerf Volant;
433;Restaurant du Loup;;;44.837944;-0.5745138;Restaurant;Cuisine traditionnelle;66  rue du Loup;33000;BORDEAUX;+33 5 56 48 20 21;www.restaurant-du-loup.com;;;;66; rue du Loup
434;L'Embarcadère;;;44.84028;-0.5719523;Restaurant;Cuisine traditionnelle;3  rue du Pas Saint Georges;33000;BORDEAUX;+33 5 56 52 23 29;www.l-embarcadere.com;;;;3; rue du Pas Saint Georges
435;L'Avenue Carnot;;;44.85105;-0.5956594;Restaurant;Cuisine traditionnelle;2  avenue Carnot;33000;BORDEAUX;+33 5 56 02 20 27;www.avenue-carnot.com;;;;2; avenue Carnot
436;L'Entrecôte;;;44.843243;-0.5745077;Restaurant;Cuisine traditionnelle;4  cours du XXX Juillet;33000;BORDEAUX;+33 5 56 81 76 10;www.entrecote.fr;;;;4; cours du XXX Juillet
437;Le Café Maritime;;;44.862297;-0.5542437;Restaurant;Cuisine traditionnelle;quai Armand Lalande Hangar G2;33000;BORDEAUX;+33 5 57 10 20 40;www.cafemaritime.com;;;;quai Armand Lalande;Hangar G2
438;Le Bistrot du Gabriel;;;44.84147;-0.5705031;Restaurant;Cuisine traditionnelle;10  place de la Bourse;33000;BORDEAUX;+33 5 56 30 00 80;www.bistrot.bordeaux-gabriel.fr;;;;10; place de la Bourse
439;Le Gabriel;;;44.84147;-0.5705031;Restaurant;Cuisine traditionnelle;10  place de la Bourse;33000;BORDEAUX;+33 5 56 30 00 80;www.bordeaux-gabriel.fr;;;;10; place de la Bourse
440;La Petite Gironde;;;44.848736;-0.5629085;Restaurant;Cuisine traditionnelle;75  quai des Queyries;33000;BORDEAUX;+33 5 57 80 33 33;www.lapetitegironde.fr;;;;75; quai des Queyries
441;Chez Greg - Le Grand Théâtre;;;44.843063;-0.57384;Restaurant;Cuisine traditionnelle;29  rue Esprit des Lois;33000;BORDEAUX;+33 5 56 31 30 30;www.chezgreg.fr;;;;29; rue Esprit des Lois
442;La Tartiflette;;;44.840656;-0.5704606;Restaurant;Cuisine traditionnelle;5  rue des Faussets;33000;BORDEAUX;+33 5 56 81 04 87;www.latartiflette.monsite-orange.fr;;;;5; rue des Faussets
443;Chez Maman;;;44.84136;-0.5719085;Restaurant;Cuisine traditionnelle;30 rue Saint-Rémi ;33000;BORDEAUX;+33 5 56 52 61 33;;;;;30 rue Saint-Rémi;
444;Brasserie Chez Julio;;;44.841827;-0.5740478;Restaurant;Cuisine traditionnelleBrasserie;4-6 rue de la Maison Daurade ;33000;BORDEAUX;+33 5 56 52 44 65;;;;;4-6 rue de la Maison Daurade;
445;Café Bastide;;;44.84343;-0.5578681;Restaurant;Cuisine traditionnelleBrasserie;69  allées de Serr;33000;BORDEAUX;+33 5 56 86 83 31;;;;;69; allées de Serr
446;Comptoir d'Ornano;;;44.83256;-0.594744;Restaurant;Cuisine traditionnelleBrasserie;227 rue d'Ornano ;33000;BORDEAUX;+33 5 56 98 43 63;www.comptoirdornano.fr;;;;227 rue d'Ornano;
447;Le Jardin des Gastronomes;;;44.83975;-0.5706334;Restaurant;Cuisine traditionnelleBrasserie;1  place Saint-Pierre;33000;BORDEAUX;+33 5 57 85 90 35;;;;;1; place Saint-Pierre
448;Le Port de la Lune;;;44.827717;-0.5519617;Restaurant;Cuisine traditionnelleBrasserie;58-59  quai de Paludate;33000;BORDEAUX;+33 5 56 49 15 55;www.leportdelalune.com;;;;58-59; quai de Paludate
449;Le Café du Port;;;44.83972;-0.5600311;Restaurant;Cuisine traditionnelleBrasserie;1  quai Deschamps;33000;BORDEAUX;+33 5 56 77 81 18;www.lecafeduport.com;;;;1; quai Deschamps
450;Chez Jean;;;44.8407;-0.5718079;Restaurant;Cuisine traditionnelleBrasserie;1  place du Parlement;33000;BORDEAUX;+33 5 56 44 44 43;www.chezjeanbordeaux.fr;;;;1; place du Parlement
451;Ibaia Café;;;44.849815;-0.5699586;Restaurant;Cuisine traditionnelleRestauration à  thème;quai des Chartrons ;33000;BORDEAUX;+33 5 56 00 45 35;www.ibaiacafe.Fr;;;;quai des Chartrons;
452;Jegher - L'orangerie du Jardin Public;;;44.8412;-0.5743938;Restaurant;Cuisine traditionnelleRestauration à  thème;Jardin Public 185;33000;BORDEAUX;+33 56 48 24 41;www.jegher.fr;;;;Jardin Public;185
453;La Raclette;;;44.840813;-0.5717214;Restaurant;Cuisine traditionnelleRestauration à  thème;22  rue Fernand Philippart;33000;BORDEAUX;+33 5 56 44 59 52;;;;;22; rue Fernand Philippart
454;C'yusha Restaurant;;;44.838287;-0.568372;Restaurant;Cuisine traditionnelleRestauration à  thème;12  rue Ausone;33000;BORDEAUX;+33 5 56 69 89 70;www.cyusha.com;;;;12; rue Ausone
455;La Terre;;;44.836304;-0.5714789;Restaurant;Restauration à  thème;18  rue Saint James;33000;BORDEAUX;+33 5 56 30 32 55;;;;;18; rue Saint James
456;Au Bonheur du Palais;;;44.832623;-0.5771899;Restaurant;Restauration à  thème;72-74  rue Paul-Louis Lande;33000;BORDEAUX;+33 5 56 94 38 63;www.abdp.free.fr;;;;72-74; rue Paul-Louis Lande
457;Café Japonais;;;44.838974;-0.5731599;Restaurant;Restauration à  thème;22  rue Saint-Siméon;33000;BORDEAUX;+33 5 56 48 68 68;www.cafejaponais.free.fr;;;;22; rue Saint-Siméon
458;Fuxia;;;44.843796;-0.5737186;Restaurant;Restauration à  thème;40 allées d'Orléans ;33000;BORDEAUX;+33 5 56 52 81 23;www.fuxia.fr;;;Handicap mentalHandicap moteurHandicap visuel;40 allées d'Orléans;
459;Raffaele Ristorante;;;44.839207;-0.5719826;Restaurant;Restauration à  thème;30  rue du Pas Saint Georges;33000;BORDEAUX;+33 5 57 85 90 13;;;;;30; rue du Pas Saint Georges
460;Koh I Noor;;;44.840923;-0.5707436;Restaurant;Restauration à  thème;3 rue Puits Descujols ;33820;BORDEAUX;+33 5 56 51 17 55;;;;;3 rue Puits Descujols;
461;Punjab;;;44.84137;-0.5725305;Restaurant;Restauration à  thème;39  rue Saint-Rémi;33000;BORDEAUX;+33 5 56 79 02 00;;;;;39; rue Saint-Rémi
462;Le Taj Mahal;;;44.84054;-0.5737137;Restaurant;Restauration à  thème;24  rue du Parlement Sainte Catherine;33000;BORDEAUX;+33 5 56 51 92 05;www.tajmahalbordeaux.fr;;;;24; rue du Parlement Sainte Catherine
463;Carioca;;;44.839447;-0.5814259;Restaurant;Restauration à  thème;30  rue du Dr Charles Nancel Penard;33000;BORDEAUX;+33 5 56 51 34 00;www.carioca-bordeaux.com;;;;30; rue du Dr Charles Nancel Penard
464;La Taverne Bavaroise;;;44.89285;-0.5713319;Restaurant;Restauration à  thèmeCuisine traditionnelle;Parc des Expositions BP 19;33350;BORDEAUX;+33 5 56 50 91 20;www.espacedulac.fr;;;;Parc des Expositions;BP 19
465;Baud et Millet;;;44.844746;-0.5792404;Restaurant;Restauration à  thèmeCuisine traditionnelleBistrot / bar à  vin;19  rue Huguerie;33000;BORDEAUX;+33 5 56 79 05 77;www.baudetmillet.fr;;;;19; rue Huguerie
466;Colombus Café;;;44.841694;-0.5810429;Restaurant;Restauration rapide;38 place Gambetta ;33410;BORDEAUX;+33 5 56 52 48 18;www.columbuscafe.com;;;Handicap auditifHandicap mentalHandicap moteurHandicap visuel;38 place Gambetta;
467;Quick Restaurant;;;44.838314;-0.5842065;Restaurant;Restauration rapideCafétéria;Centre Commercial Mériadeck rue du Château d'Eau;33410;BORDEAUX;+33 5 56 08 95 07;www.quick.fr;;;Handicap auditifHandicap mentalHandicap moteurHandicap visuel;Centre Commercial Mériadeck;rue du Château d'Eau
468;Le Saint-James;;;44.813953;-0.503427;Hôtel restaurant;Cuisine traditionnelle;3  place Camille Hostein;33270;BOULIAC;+33 5 57 97 06 00;www.saintjames-bouliac.com;;;;3; place Camille Hostein
469;L'Auberge du Marais;;;44.811436;-0.5062128;Restaurant;Cuisine traditionnelle;22 route de Latresne ;33270;BOULIAC;+33 5 56 20 52 17;www.aubergedumarais.fr;;Maître Restaurateur;;22 route de Latresne;
470;Le Flaà¼tat;;;44.569927;0.01647949;Hôtel restaurant;Cuisine traditionnelle;Route Nationale 113 ;33880;BOURDELLES;+33 5 56 71 00 37;;;;;Route Nationale 113;
471;Le Plaisance;;;45.038788;-0.5569767;Restaurant;Cuisine traditionnelleBrasserie;4 place Eugène Marchal ;33710;BOURG;+33 5 57 68 45 34;www.restaurant-le-plaisance.com;;;;4 place Eugène Marchal;
472;L'Hippocampe Bleu;;;45.039696;-0.5595596;Restaurant;Restauration à  thème;3  rue du 4 septembre;33710;BOURG;+33 5 57 68 37 00;;;;;3; rue du 4 septembre
473;L'Esprit des Lieux;;;45.039654;-0.5586888;Restaurant;Restauration rapide;place de la Libération ;33710;BOURG;+33 5 57 43 99 86;;;;;place de la Libération;
474;Cosy Café;;;45.039288;-0.5587743;Restaurant;Restauration rapide;9 place de la Libération ;33121;BOURG;+33 6 23 38 04 31;;;;;9 place de la Libération;
475;Auberge de la Haute-Lande;;;44.368008;-0.45382;Restaurant;Cuisine traditionnelle;5  le Bourg Nord;33113;BOURIDEYS;+33 5 56 25 74 84;;;;;5; le Bourg Nord
476;Le Caffé Cuisine;;;44.82938;-0.1863236;Restaurant;Cuisine traditionnelle;7  place du Marché;33420;BRANNE;+33 5 57 24 19 67;;;;;7; place du Marché
477;Le Marainaud;;;45.284428;-0.6991767;Restaurant;Cuisine traditionnelle;1 les Nouvelles Possessions ;33350;BRAUD-ET-SAINT-LOUIS;+33 5 57 32 48 48;;;;;1 les Nouvelles Possessions;
478;Le Bistro d'Antan;;;44.895775;-0.5920027;Restaurant;Bistrot / bar à  vinCuisine traditionnelle;avenue de Verdun Galerie Les Bruyères;33260;BRUGES;+33 5 56 28 49 50;www.bistrotdantan.fr;;Maître Restaurateur;;avenue de Verdun;Galerie Les Bruyères
479;Le Relais du Château;;;44.533237;-0.385365;Restaurant;Cuisine traditionnelle;2 rue du 14 juillet ;33260;BUDOS;+33 5 56 62 58 17;;;;;2 rue du 14 juillet;
480;Le Relais;;;44.60589;-0.553529;Hôtel restaurant;Cuisine traditionnelle;2 place de Ségur ;33260;CABANAC-ET-VILLAGRAINS;+33 5 57 80 44 89;;;;;2 place de Ségur;
481;Gabare Restaurant La Lamproie;;;44.827312;-0.1584567;Restaurant;Cuisine traditionnelle; ;33260;CABARA;+33 6 80 02 54 83;;;;;;
482;La Plaine de Moscou;;;44.736687;-0.5364947;Restaurant;Cuisine traditionnelle;2830  avenue de Toulouse;33140;CADAUJAC;+33 5 56 30 73 60;;;;;2830; avenue de Toulouse
483;Hôtel Restaurant Detrée;;;44.63631;-0.323163;Hôtel restaurant;Cuisine traditionnelle;22  avenue du Pont;33410;CADILLAC;+33 5 56 62 65 38;;;;;22; avenue du Pont
484;La Crèperie;;;44.637424;-0.3191194;Restaurant;Crèperie;22 rue du Général de Gaulle ;33410;CADILLAC;+33 5 56 76 27 97;;;;;22 rue du Général de Gaulle;
485;L'Entrée Jardin;;;44.63553;-0.3243112;Restaurant;Cuisine traditionnelle;27  rue du Pont;33410;CADILLAC;+33 5 56 76 96 96;www.restaurant-cadillac.com;;Maître Restaurateur;;27; rue du Pont
486;Au Fin Gourmet;;;44.637184;-0.320833;Restaurant;Cuisine traditionnelle;6  place de la République;33410;CADILLAC;+33 5 56 62 90 80;;;;;6; place de la République
487;Les Remparts;;;44.636814;-0.321776;Restaurant;PizzeriaCuisine traditionnelleGrill;2  allée de Lattre de Tassigny;33410;CADILLAC;+33 5 56 76 90 77;www.pizzeria-les-remparts.com;;;;2; allée de Lattre de Tassigny
488;Le Petit Naples;;;44.63658;-0.3209637;Restaurant;PizzeriaRestauration à  thème;7  porte de la Mer;33410;CADILLAC;+33 5 56 27 47 63;www.lepetitnaples-cadillac.fr;;;;7; porte de la Mer
489;Bistrot de L'Entre-deux-Mers;;;44.83316;-0.3632109;Restaurant;Cuisine traditionnelle;15  route de Bergerac;33750;CAMARSAC;+33 5 56 30 18 90;;;;;15; route de Bergerac
490;L'As de Carreau;;;44.732494;-0.462423;Restaurant;Brasserie;21 place Sadi Carnot ;33360;CAMBES;+33 5 56 78 73 76;;;;;21 place Sadi Carnot;
491;La Maison du Fleuve;;;44.7676;-0.50607;Restaurant;Cuisine traditionnelle;20  chemin Seguin;33360;CAMBLANES-ET-MEYNAC;+33 5 56 20 06 40;www.maison-du-fleuve.com;;;;20; chemin Seguin
492;La ferme nature de Marahans;;;44.29836;-0.2614402;Restaurant;Cuisine traditionnelle;lieu dit Marahans ;33138;CAPTIEUX;+33 9 82 25 72 85;http://ferme-nature-marahans.com;;;;lieu dit Marahans;
493;Les Mouettes;;;45.082935;-1.1875697;Restaurant;PizzeriaCuisine traditionnelle;4 place Marcel Prévot ;33121;CARCANS;+33 5 56 03 32 50;;;;;4 place Marcel Prévot;
494;Snack de la Plage;;;45.088604;-1.0428554;Restaurant;Restauration rapide;Domaine de Bombannes ;33121;CARCANS;+33 5 57 70 12 23;;;Famille Plus;;Domaine de Bombannes;
495;Le Mini Golf de Maubuisson;;;45.06677;-1.139027;Restaurant;Cuisine traditionnelleBrasserieRestauration rapide;83  avenue de Maubuisson;33121;CARCANS-MAUBUISSON;+33 5 56 03 04 29;;;Famille Plus;;83; avenue de Maubuisson
496;Chez Heidi;;;45.081924;-1.1894524;Restaurant;Restauration à  thème;avenue des Dunes ;33121;CARCANS-OCEAN;+33 5 56 03 42 92;;;;;avenue des Dunes;
497;Pizza Milano;;;44.81092;-0.4774402;Restaurant;Pizzeria;18  rue Lartigotte;33360;CARIGNAN-DE-BORDEAUX;+33 5 56 21 12 88;http://pizzamilano.wifeo.com;;;;18; rue Lartigotte
498;L'Escale Chez Olga;;;45.200184;-0.5903434;Hôtel restaurant;Cuisine traditionnelle;15 route de Saintes ;33138;CARTELEGUE;+33 5 57 64 71 18;www.chez-olga.com;;;;15 route de Saintes;
499;Le Phénix;;;44.85383;-0.042633;Hôtel restaurant;Cuisine traditionnelle;24  place Pierre Orus;33350;CASTILLON-LA-BATAILLE;+33 5 57 40 00 14;www.hotel-restaurant-lephenix.frcaroleportier@orange.fr;;;;24; place Pierre Orus
500;La Fontaine de Manon;;;44.85438;-0.0457421;Restaurant;Cuisine traditionnelle;57  rue Victor Hugo;33350;CASTILLON-LA-BATAILLE;+33 5 57 40 24 48;;;;;57; rue Victor Hugo
501;Le Mounan;;;44.852066;-0.043008;Restaurant;PizzeriaCuisine traditionnelle;route de Bergerac ;33360;CASTILLON-LA-BATAILLE;+33 5 57 40 38 19;;;;;route de Bergerac;
502;La Paillotte;;;45.10232;-0.388482;Hôtel restaurant;Cuisine traditionnelle;103 avenue de Paris ;33360;CAVIGNAC;+33 5 57 58 98 90;;;;;103 avenue de Paris;
503;Auberge de Cazalis;;;44.342766;-0.379161;Restaurant;Cuisine traditionnelleBistrot / bar à  vin;6 le bourg ;;CAZALIS;+33 5 56 65 41 44;;;;;6 le bourg;
504;Le 28;;;44.536682;-1.1533069;Hôtel restaurant;Cuisine traditionnellePizzeria;28  avenue de Verdun;33260;CAZAUX;+33 5 56 22 90 59;www.levingthuit.com;;;;28; avenue de Verdun
505;La Mise en Bouche;;;44.540142;-1.1565775;Restaurant;Cuisine traditionnelle;route de Cazaux ;33290;CAZAUX;+33 5 56 66 35 14;;;;;route de Cazaux;
506;Le Bô Site;;;44.529205;-1.1655739;Restaurant;Cuisine traditionnelle;rue Osmin Dupuy ;33290;CAZAUX;+33 5 56 22 52 25;;;;;rue Osmin Dupuy;
507;Le Voilier;;;44.52564;-1.1700439;Restaurant;Cuisine traditionnellePizzeriaGrill;rue Osmin Dupuy ;33290;CAZAUX;+33 5 56 66 10 85;;;;;rue Osmin Dupuy;
508;Camping la Pinéda;;;44.555187;-1.1498737;Restaurant;Cuisine traditionnelleRestauration rapide;route de Cazaux ;33290;CAZAUX;+33 5 56 22 23 24;www.campinglapinede.net;;;;route de Cazaux;
509;Key West;;;44.52605;-1.170238;Restaurant;Cuisine traditionnelleRestauration rapideGrill;Plage de Cazaux esplanade Jean Labat;33290;CAZAUX;+33 6 86 48 80 09;;;;;Plage de Cazaux;esplanade Jean Labat
510;Larrouet;;;44.527107;-1.1635208;Restaurant;Restauration rapide;Halte nautique ;33290;CAZAUX;+33 5 56 66 75 83;;;;;Halte nautique;
511;Laouga;;;44.521416;-1.1744213;Restaurant;Restauration rapideCuisine traditionnelle;Plage Laouga ;33290;CAZAUX;+33 5 56 22 71 13;;;;;Plage Laouga;
512;Uhaà¯na Plage;;;44.520805;-1.1743783;Restaurant;Restauration rapideCuisine traditionnelle;Plage Laouga ;33290;CAZAUX;+33 5 56 22 14 84;;;;;Plage Laouga;
513;Pizzas Cazalins;;;44.5369;-1.1532211;Restaurant;Restauration rapidePizzeria;18  avenue de Verdun;33260;CAZAUX;+33 5 56 22 14 62;;;;;18; avenue de Verdun
514;Aux Délices du Lac de Cazaux;;;44.531666;-1.1609673;Restaurant;Restauration rapidePizzeria;74  rue Osmin Dupuy;33260;CAZAUX;+33 5 56 22 96 73;;;;;74; rue Osmin Dupuy
515;Les Acacias;;;44.778923;-0.4621736;Restaurant;Brasserie;8 avenue de la République ;33470;CENAC;+33 5 56 92 57 40;;;;;8 avenue de la République;
516;Ze Rock;;;44.85774;-0.530906;Restaurant;Brasserie;1 bis rue Aristide Briand Parc Palmer;;CENON;+33 5 57 54 12 94;;;;;1 bis rue Aristide Briand;Parc Palmer
517;Labelle de Midi;;;44.77138;-0.7146622;Restaurant;Cuisine traditionnelle;53  avenue de Lattre-de-Tassigny;33610;CESTAS;+33 5 56 36 65 36;www.labelledemidi.com;;;;53; avenue de Lattre-de-Tassigny
518;Le Philéas Fogg;;;45.111748;-0.4422037;Restaurant;Cuisine traditionnelle;33  le Bourg;33920;CIVRAC-DE-BLAYE;+33 5 57 68 29 20;;;;;33; le Bourg
519;Le Flore;;;44.691525;-0.167321;Restaurant;Cuisine traditionnelle;1  Petit Champ du Bourg;33540;COIRAC;+33 5 56 71 57 47;;;;;1; Petit Champ du Bourg
520;Le Saint Sabastien;;;45.34422;-0.848809;Restaurant;Cuisine traditionnelle;11  rue Charles Plumeau;33340;COUQUEQUES;+33 5 56 41 38 65;www.saintsabastien.com;;;;11; rue Charles Plumeau
521;L'Oxalis;;;44.7026;-1.0401288;Restaurant;Cuisine traditionnelle;3 avenue Paul Gauguin ;33950;LANTON;+33 5 56 60 41 14;;;;;3 avenue Paul Gauguin;
522;Le Quai des Brumes;;;44.71118;-1.0547977;Restaurant;Cuisine traditionnelle;21  avenue de la République;33138;LANTON;+33 5 56 03 04 74;;;;;21; avenue de la République
523;Les Fontaines;;;44.725266;-1.0709217;Restaurant;Cuisine traditionnelle;17  avenue Jean Bart;33138;LANTON;+33 5 56 82 13 86;www.restaurant-les-fontaines.com;;;;17; avenue Jean Bart
524;Le Cabanon;;;44.714294;-1.0665321;Restaurant;Cuisine traditionnelle;Port de Cassy ;33950;LANTON;+33 5 56 82 99 54;;;;;Port de Cassy;
